,RMSE_train,test_ARI,loglike,RMSE_test,train_ARI,RMSE_train_std,test_ARI_std,loglike_std,RMSE_test_std,train_ARI_std,method,missing_rate
30,0.37409948064378196,0.4498622211933382,-29.03532281795352,0.29625541643556785,0.4532857162026868,5.551115123125783e-17,0.2225227338095832,0.46835038257961525,0.003611523427014454,0.2224476113316316,EM+median,0.2
31,0.374099480643782,0.5569218066099955,0.0007967268836151874,0.43003367917497665,0.5625884167254734,0.0,0.0,0.0,0.0,0.0,Gibbs+median,0.2
32,0.37409948064378196,0.13780648010233648,-29.53547820874393,0.29875419055817454,0.13622399156909235,5.551115123125783e-17,0.1522909753879925,0.336156491422147,0.0029622802234649235,0.1554232164763327,VBEM+median,0.2
33,0.37409948064378196,0.38925927702665775,-29.055825419818184,0.29569267862894183,0.38711655825171043,5.551115123125783e-17,0.24290131339123847,0.41036321619504446,0.0027079860619501983,0.2511195895303283,EM+mode,0.2
34,0.374099480643782,-0.0003202447677565318,0.004231443803881775,0.4299412153833667,0.001895626841732948,0.0,0.0,0.0,0.0,0.0,Gibbs+mode,0.2
35,0.37409948064378196,0.29356737833761926,-29.237007703753186,0.29747420188713014,0.29088512157140217,5.551115123125783e-17,0.26628536307164674,0.4059533849152897,0.003432056674075829,0.2697469972214682,VBEM+mode,0.2
36,0.4438530070209889,0.6270199107704417,-21.934007772758587,0.4415387171676099,0.6315280413015781,0.0,0.0,0.0,0.0,0.0,Gibbs,0.3
37,0.291047728207554,0.40937470074461857,-22.078822802229347,0.29007286396245313,0.4154995983624259,0.0014398303521226696,0.2357925628107673,0.15583427114920062,0.0019316726282179882,0.2326539852362098,VBEM,0.3
38,0.2933023267003877,0.298724919250919,-22.379960649075315,0.29238978596099247,0.2975986578530446,0.003454566826518103,0.27737027111919865,0.43738946818554997,0.0038732636065513023,0.28409038284011046,EM,0.3
39,0.3140977321741024,0.30474757099975747,-34.56989562594453,0.29446748257503574,0.3098068515879454,5.551115123125783e-17,0.2783639015313537,0.2969972067911835,0.003936294490180622,0.2810470475657296,EM+mean,0.3
40,0.31409773217410236,0.607663014204701,0.003978821689281295,0.4421586454709225,0.611146092621959,0.0,0.0,0.0,0.0,0.0,Gibbs+mean,0.3
41,0.3140977321741024,0.3948393511145112,-34.44865878132105,0.2919560994240393,0.3951268590784204,5.551115123125783e-17,0.2253546970811374,0.18113362703884434,0.0018464453149292263,0.23602089225198425,VBEM+mean,0.3
42,0.3752509642914164,0.22025691551219756,-27.552594420586036,0.30149961735494635,0.21474731563297192,0.0,0.24933918687054166,0.3833868392639135,0.0030836229464053216,0.2560659036655449,EM+median,0.3
43,0.3752509642914164,0.022123094002728452,0.0102079466108493,0.423332933744042,0.029915431898317555,0.0,0.0,0.0,0.0,0.0,Gibbs+median,0.3
44,0.3752509642914164,0.2780939995563649,-27.457282934931065,0.30064369075868924,0.284981119824705,0.0,0.23262880433771171,0.3583299688469006,0.00323127416325096,0.2342281069159162,VBEM+median,0.3
45,0.3752509642914164,0.2085655578124062,-27.58147022092667,0.3021491010500972,0.21267875238329167,0.0,0.23799346897179374,0.365665434929504,0.0034245586989236883,0.24232636404557092,EM+mode,0.3
46,0.3752509642914164,0.5404982977005378,0.0019796223091810344,0.4237710263392161,0.5492784202967876,0.0,0.0,0.0,0.0,0.0,Gibbs+mode,0.3
47,0.3752509642914164,0.31012577325863416,-27.38759578639674,0.29999042518459595,0.31115398253461024,0.0,0.2544037220651789,0.3244530333553497,0.002860708542774856,0.2570817510476201,VBEM+mode,0.3
48,0.44368005177177583,0.23035070306292613,-19.02268849129835,0.4426763578655889,0.2085620259500928,0.0,0.0,0.0,0.0,0.0,Gibbs,0.4
49,0.29146373954317684,0.38353646520314055,-19.111944837688593,0.29255205082483177,0.3856550733305192,0.002495612794289555,0.2438720942142742,0.2814701499330467,0.0025269924704033747,0.24873866720499105,VBEM,0.4
50,0.29164988059334357,0.42906324221802217,-19.107641345321003,0.29249886752042004,0.4288966147609264,0.003125312318816167,0.2460799722161123,0.31067414529378395,0.0029957322173014096,0.2507198852737924,EM,0.4
51,0.31398502660252203,0.4604148207819486,-35.02297818132746,0.2954803520249151,0.459824778416747,0.0,0.18625756769549626,0.035211912159669956,0.0010741448055347329,0.1901251732310065,EM+mean,0.4
52,0.31398502660252203,0.19189221849805055,0.005204086179855211,0.4463193545807126,0.17723880742853915,0.0,0.0,0.0,0.0,0.0,Gibbs+mean,0.4
53,0.31398502660252203,0.3795872959530252,-35.057431082908025,0.2957322485855592,0.37433115405434664,0.0,0.19519910058019332,0.036199937221243816,0.001028687292887283,0.20219976214236818,VBEM+mean,0.4
54,0.37480033262640766,0.31399903168517074,-25.312962827664677,0.3086790851169759,0.3144464209540422,5.551115123125783e-17,0.27465355308122863,0.2970693739664266,0.002663217691130156,0.27974228152598346,EM+median,0.4
55,0.3748003326264076,0.5423112795596688,0.004068328456549954,0.41700045915910505,0.5511043548001977,0.0,0.0,0.0,0.0,0.0,Gibbs+median,0.4
56,0.37480033262640766,0.44241342009782975,-25.197015706480926,0.30745649203687386,0.4546102693463288,5.551115123125783e-17,0.2187911324221194,0.21723117631156835,0.0015062431740127135,0.21411305945313744,VBEM+median,0.4
57,0.37480033262640766,0.26981762853138946,-25.34282030659474,0.3089766542438758,0.2660229141319654,5.551115123125783e-17,0.25023757523355866,0.26467592478823604,0.002882949477516816,0.254751947879567,EM+mode,0.4
58,0.3748003326264076,0.0029377510858537804,0.008185612160188031,0.41779544302629223,0.0008553840591327907,0.0,0.0,0.0,0.0,0.0,Gibbs+mode,0.4
59,0.37480033262640766,0.33319772719815827,-25.282117703740383,0.30794682771499476,0.3320350094562447,5.551115123125783e-17,0.2458976591424873,0.2399085683402648,0.0024315137126995,0.25362787451381075,VBEM+mode,0.4
60,0.4433010446874406,0.6211815702343138,-15.898011260755757,0.4455972541858684,0.6237246501855981,0.0,0.0,0.0,0.0,0.0,Gibbs,0.5
61,0.2901908378564239,0.3967768927576029,-15.969400912659614,0.2896796969951932,0.39626215523306746,0.0011831528397100262,0.2154205968606588,0.08973790509816605,0.0016058746438076365,0.2231981423679283,VBEM,0.5
