,RMSE_test,loglike,test_ARI,train_ARI,RMSE_train,RMSE_test_std,loglike_std,test_ARI_std,train_ARI_std,RMSE_train_std,method,missing_rate
29,0.308565607328988,-25.450472276795033,0.29378132664353807,0.2925965320702423,0.3742844514250136,0.0034584086821046454,0.3203185290124042,0.2603320089484749,0.25962571552429536,0.0,EM+mode,0.4
30,0.4426272558553165,-15.973467124493475,0.5459452358067713,0.5424557880374339,0.4427049661818249,0.0,0.0,0.0,0.0,0.0,Gibbs,0.5
31,0.2896345095583269,-15.961577563223695,0.5113498110949992,0.5111704416786399,0.28953094333013585,0.0014349181878642759,0.14985768467361482,0.19944400401401208,0.2049071144199448,0.001542283195121654,VBEM,0.5
32,0.2899623477856896,-15.98225369985403,0.4983912169360288,0.4983026513285619,0.2898676167043549,0.0020726815858125272,0.18242614250519468,0.19965907824521148,0.20434033796550297,0.0021494344669943993,EM,0.5
33,0.2957522518946541,-35.604463132370924,0.45793434044171005,0.4463019671583117,0.3131142954198877,0.00014232680638999603,0.002764348201365493,0.18342100817764959,0.19572811678320517,0.0,EM+mean,0.5
34,0.31237845079653004,-23.07134484954782,0.3049893223603583,0.2976164007846002,0.370717774880938,0.002129164672866957,0.21065985556417657,0.24800602328135335,0.25230356154098343,0.0,EM+median,0.5
35,0.3135824881957843,-22.882928687408814,0.3876139702245167,0.38601636088263946,0.3734714805991643,0.002615502220104541,0.25767946454429874,0.25382692846906785,0.25857903244894587,0.0,EM+mode,0.5
36,0.4417957517207834,-12.819736111941936,0.23153699670596992,0.20884650000980096,0.44319653643780754,0.0,0.0,0.0,0.0,0.0,Gibbs,0.6
37,0.2918646111520073,-12.871665971167776,0.39857869751058006,0.41043571702289094,0.2905703748050529,0.001989184190682641,0.11380597231526628,0.23460432755690547,0.24050934257516804,0.0016599440979557015,VBEM,0.6
38,0.2916130825449565,-12.884058729206648,0.3766456110034183,0.37743559805973514,0.29073456652029306,0.0019893941172621755,0.1391311465960485,0.22032163632331506,0.22811058879650328,0.0017799400690194686,EM,0.6
39,0.30211723304971144,-35.99190223923657,0.5122960323275675,0.5064992339025002,0.31365330515728645,0.0006776762537386355,0.012780402764866888,0.1446694339716569,0.16138910948261564,0.0,EM+mean,0.6
40,0.32679313638458946,-20.02334023587981,0.22231867840336408,0.21967166851587852,0.37485521530742194,0.0022562319435403084,0.1537469046109229,0.21976589611907513,0.2273043055891523,0.0,EM+median,0.6
41,0.3250288697300069,-19.865980036680142,0.5060518964982239,0.5173362892633316,0.37485521530742194,0.00031399607090127366,0.0350847138752711,0.12001016245304903,0.12798563211962705,0.0,EM+mode,0.6
42,0.44203169501973905,-9.723969899678288,0.5754541068995143,0.5565887494598412,0.4437673919310647,0.0,0.0,0.0,0.0,0.0,Gibbs,0.7
43,0.29200887259098735,-9.775553321383715,0.46236343548742925,0.4676809160206342,0.29189307641618756,0.0025202462436226224,0.11783830681744469,0.21895193472215527,0.22347330015356806,0.0024787571524659702,VBEM,0.7
44,0.29390878215810545,-9.991675755491961,0.5580764370876125,0.5499465044134297,0.2939215906047863,0.0004256878453352952,0.01338494413739724,0.030471245163866425,0.027690031925711487,0.0003933291687776778,EM,0.7
45,0.31372448290488136,-36.11649439770838,0.153170835024951,0.16190554195499135,0.3134673675831529,6.122771550855215e-06,3.4643590574186634e-05,0.14547478731730024,0.15371403138244671,0.0,EM+mean,0.7
46,0.3350542229966208,-16.471505121979792,0.4380282265193987,0.4362641597941713,0.3743150654691059,0.0013560503536585208,0.09479485627304861,0.18356644476282952,0.18831447062693701,0.0,EM+median,0.7
47,0.3346670636395309,-16.47762492852946,0.4257975318988943,0.41784586780574984,0.3743150654691059,0.0007627239053577971,0.0807692381790301,0.17650988371726922,0.18552694414024534,0.0,EM+mode,0.7
48,0.44440760824081865,-6.645069745018393,0.21180612359812265,0.17562422849915157,0.4446007790428922,0.0,0.0,0.0,0.0,0.0,Gibbs,0.8
49,0.2940739057091809,-6.62188740162443,0.3898448351190307,0.3971124669961422,0.2932612975297834,0.0006853385797535907,0.014982970009004722,0.17178386903821033,0.16835952303524437,0.000340061349802178,VBEM,0.8
50,0.31398207375839676,-7.20576699289948,0.0,0.0,0.31347087483658986,6.081438322866723e-07,2.2580276104544227e-05,0.0,0.0,3.4118446171408543e-07,EM,0.8
51,0.31398197439785974,-36.25642701046809,0.038407527744563366,0.04064799539335477,0.31347064775591915,1.1059295054019393e-07,3.3885605363157383e-06,0.05704823585397783,0.06054173764962704,0.0,EM+mean,0.8
52,0.348303113271533,-12.482441505148563,0.2978569266084624,0.29600486892829375,0.3742822219993426,0.0004818532714637556,0.04259838052043242,0.16679611617756965,0.16308108380301753,0.0,EM+median,0.8
53,0.3487203614161697,-12.496047455148652,0.22830254855726392,0.22181881999616615,0.3742822219993426,0.0008259099562757216,0.0480153732079508,0.1903623837619131,0.1964833895160209,0.0,EM+mode,0.8
54,0.44685862579281455,-3.4704388015544954,0.1406617484372324,0.0924471236842643,0.4463985279636543,0.0,0.0,0.0,0.0,0.0,Gibbs,0.9
55,0.3000071901887913,-3.468126138479184,0.2586933320016769,0.23426681872942973,0.299657435544297,0.0012113546513830337,0.01534808819282735,0.1163845695562539,0.09728630615974995,0.0006787635939443431,VBEM,0.9
56,0.3138480205389554,-3.6475252364453254,0.0,0.0,0.3133136707148566,1.6020387856726672e-06,4.3504898577762954e-05,0.0,0.0,1.0366740331071142e-06,EM,0.9
57,0.313847358959135,-36.44371364679124,0.0,4.716683577114325e-06,0.3133117807971098,3.240770599908246e-10,3.920575651596759e-08,0.0,9.438514981371491e-06,0.0,EM+mean,0.9
58,0.36141083906952287,-7.530204329808777,0.20883886808670696,0.17915510772872273,0.3738460778745284,0.00012536359631099586,0.008021376317061102,0.0834165814201327,0.08027683359846714,5.551115123125783e-17,EM+median,0.9
59,0.3613558931108053,-7.526537745354692,0.24071475785612179,0.20877965757652764,0.3738460778745284,7.014569270093508e-05,0.004426497557200054,0.052749167108968834,0.05008829322836881,5.551115123125783e-17,EM+mode,0.9
