,loglike,test_ARI,train_ARI,loglike_std,test_ARI_std,train_ARI_std,method,missing_rate,RMSE_test,RMSE_train,RMSE_test_std,RMSE_train_std
40,0.0,0.008998085933291428,-0.0015989633048560305,0.0,0.022581687078068825,0.00451672490707019,KMeans+CC,0.8,,,,
41,0.0,0.021856341192799382,0.016691715719899223,0.0,3.469446951953614e-18,0.0,KMeans+mean,0.8,,,,
42,0.0,0.008317278351864995,0.04972764310115578,0.0,0.0,0.0,KMeans+mode,0.8,,,,
43,0.0,0.026897220042473764,0.016691715719899223,0.0,0.0,0.0,KMeans+median,0.8,,,,
44,0.0,0.0,0.0,0.0,0.0,0.0,EM+CC,0.8,0.9892192818514296,0.9987039191368382,0.0,1.1102230246251565e-16
45,0.0,0.0016373834263283583,-0.0008462619225009192,0.0,0.020766860082377055,0.0024568896364012775,KMeans+CC,0.9,,,,
46,0.0,0.014151180581994239,0.01742156463108882,0.0,0.0,0.0,KMeans+mean,0.9,,,,
47,0.0,0.001522249698656692,0.004903069978995505,0.0,2.168404344971009e-19,0.0,KMeans+mode,0.9,,,,
48,0.0,-0.008743929762511522,0.01742156463108882,0.0,0.0,0.0,KMeans+median,0.9,,,,
49,0.0,-0.00914367313095951,0.0,0.0,0.0,0.0,EM+CC,0.9,1.55218558806239,1.4732309235682473,0.0,0.0
