,train_ARI,loglike,RMSE_test,RMSE_train,test_ARI,train_ARI_std,loglike_std,RMSE_test_std,RMSE_train_std,test_ARI_std,method,missing_rate
29,0.23840814303293362,-4.165017629290373,1.4537216404842221,1.1043600391647161,0.13323878440991202,0.14428062647837983,0.18788473021149932,0.0,0.0,0.13478018855939763,EM+mode,0.4
30,0.48885680550276256,-3.0932794524717186,1.3025249878103822,1.48862332090207,0.48633808765716885,0.0,0.0,0.0,0.0,0.0,Gibbs,0.5
31,0.4777749760475249,-0.16762965098752178,0.6749990291559482,0.6827542111958529,0.45528854839149585,0.06961864177407207,0.007034112503190491,0.008217450764579106,0.0052032377022923305,0.09498917281675531,VBEM,0.5
32,0.4509478396975856,-2.1142033831419322,0.720242846077222,0.7132633986550566,0.3990697519776329,0.07313495073772171,0.021852764509566223,0.02028523359500899,0.01239594773809683,0.09877607085261426,EM,0.5
33,0.02178145767916802,-3.9269562044704713,0.9825019810089349,1.0044498390848131,0.0,0.01682635881452518,0.023380533571132654,0.0,0.0,0.0,EM+mean,0.5
34,0.04977156471436901,-3.9064447667770907,1.0188866334142523,1.0277955938222674,0.0,0.04234621736168795,0.0701145132308691,2.220446049250313e-16,0.0,0.0,EM+median,0.5
35,0.08819513905638511,-4.327311388331369,1.3260496089933493,1.2308170928761635,0.004377149924631856,0.05851204676837857,0.11820667953519812,0.0,0.0,0.0066862069525985765,EM+mode,0.5
36,0.4285225123015451,-2.9746853176780825,1.61101517414022,1.5590951466248895,0.5245887741420199,0.0,0.0,0.0,0.0,0.0,Gibbs,0.6
37,0.4355994751451564,-0.22582690090720195,0.7169261956543759,0.7449683873683791,0.45608469691326825,0.05787973789700511,0.044300249428433934,0.013048828389077203,0.011157427408456728,0.07468263218951329,VBEM,0.6
38,0.4130885590238197,-1.9908419299794626,0.756226084779059,0.7708294350644029,0.4403658933051431,0.07621487753336806,0.02617073383051537,0.007993969688902883,0.015382268298467712,0.07688957541313433,EM,0.6
39,0.016425319786390037,-3.7692976986259685,0.9610441082307558,0.9933193460525415,0.0,0.005788790639035089,0.030645344009009114,0.0,0.0,0.0,EM+mean,0.6
40,0.027668821628921276,-3.7732898810061783,1.013855055491367,1.022403264243549,0.0,0.017764770956365968,0.04930568585606579,0.0,0.0,0.0,EM+median,0.6
41,0.0778220237003247,-4.313874164090064,1.1738817191568764,1.3920106113054573,0.0,0.044211622393435006,0.09239263170604856,2.220446049250313e-16,0.0,0.0,EM+mode,0.6
42,0.3618565890057218,-2.9670101552485106,1.4212307517190355,1.4338492324140555,0.3550555964900529,0.0,0.0,0.0,0.0,0.0,Gibbs,0.7
43,0.3393223172463854,-0.1650846194046869,0.8202560393931282,0.8221206401304512,0.4172201611389351,0.030475628267822727,0.018155837145100818,0.007883185192978872,0.0062859637589718085,0.053682874063969495,VBEM,0.7
44,0.11155801319681287,-1.7375048191522406,0.848260424155027,0.8665326173338652,0.1231706360283368,0.09069922076719315,0.025827274297658034,0.013610201405612553,0.012776491584959273,0.11340923425152076,EM,0.7
45,-0.00605626849559464,-3.024842178024911,1.0199111610522231,1.0301862014028687,0.0,0.008812140077759031,0.11544551879721303,0.0,2.220446049250313e-16,0.0,EM+mean,0.7
46,0.0034137907802886647,-3.110474167284174,1.015376285125276,1.0430435757674859,0.0,0.003996636024950188,0.10759090847705327,0.0,0.0,0.0,EM+median,0.7
47,0.043035680125803985,-3.4172280786456803,1.263497462472483,1.2027838677032052,0.008757281501225227,0.028192888601069204,0.1828859758271787,2.220446049250313e-16,0.0,0.026271844503675684,EM+mode,0.7
48,0.14227560752682608,-2.687973675303428,1.2896957326632077,1.5076801764672443,0.1120604653690577,0.0,0.0,0.0,0.0,0.0,Gibbs,0.8
49,0.14051694138321225,-0.13395341103536937,0.9219135386751194,0.9457915694672293,0.11626662179114788,0.033769552308944926,0.013315276241933256,0.012522763960333458,0.01161545353393357,0.019082808127387163,VBEM,0.8
50,-0.0004587062432883459,-1.3712209726412126,0.9584650489004861,0.9471957721176303,-0.020820265795512855,0.008941745621847389,0.05875201034834236,0.06114543353293214,0.011507697756612907,0.012834327971039079,EM,0.8
51,0.00010195001410311269,-2.3020178359396155,1.0334112958940602,1.0047333208935973,0.0,0.0015556247244393703,0.1479997951552228,0.0,0.0,0.0,EM+mean,0.8
52,0.006807845428029905,-2.025928914435378,1.1107187246494308,1.0340576082065847,-0.001796581204031787,0.00943455771965094,0.8536117525497934,0.0,0.0,0.0037300032056035584,EM+median,0.8
53,0.00918156491358286,-3.016462159614308,1.764948163094165,1.5109873712860948,-0.0004463773704885255,0.013914804719029906,0.6700017413135063,0.0,2.220446049250313e-16,0.001313567416951424,EM+mode,0.8
54,0.013452255221761824,-3.0756588334996575,1.2907331938372122,1.4916674241715657,-0.015575310552045564,0.0,0.0,0.0,0.0,0.0,Gibbs,0.9
55,0.02041706924662547,-0.1373273585872618,1.0051740863199892,0.9970830372749534,-0.011131427734265023,0.009179964725766227,0.013499371043958697,0.01701824448502986,0.01334234708442697,0.00925576440794297,VBEM,0.9
56,0.006606929121362651,-1.0682479901822537,0.989285173645732,1.001156711283215,-0.01441592345886417,0.005489013340309587,0.10628648293309224,0.0235621421522549,0.014601106541245093,0.012108449518473558,EM,0.9
57,0.0062170139140038105,-0.6297553828732635,1.016091755448206,1.0110154623272831,0.0,0.007321084000888313,0.3617731607519068,2.220446049250313e-16,2.220446049250313e-16,0.0,EM+mean,0.9
58,0.001144855543938702,-0.8368935250439623,1.1221148462100619,1.0226751714856115,0.0,0.0011448555439387018,0.20066585179003618,0.0,0.0,0.0,EM+median,0.9
59,0.00516934470735269,-1.2665062403884122,1.474752841078549,1.2824921838108119,0.0,0.004835083991474493,0.41301216819354086,0.0,2.220446049250313e-16,0.0,EM+mode,0.9
