,Unnamed: 0.1,Unnamed: 0,test_ARI,RMSE_train,train_ARI,RMSE_test,loglike,test_ARI_std,RMSE_train_std,train_ARI_std,RMSE_test_std,loglike_std,method,missing_rate
24,24,24,0.4349796103307657,1.273568591710217,0.5302297169128877,0.9867123129854962,-2.275788280343575,0.0,0.0,0.0,0.0,0.0,Gibbs,0.4
25,25,25,0.4520883976859057,0.5684588329107054,0.5261856891438341,0.6660515243992433,0.5631218544335361,0.0723271095925974,0.007292283938049,0.0612360287304768,0.0239970382033177,0.0415274696486647,VBEM,0.4
26,26,26,0.4096993806654067,0.5867939052489586,0.5481402381883868,0.6474909684028152,-1.5467326836107531,0.0719405371346413,0.0157170244155753,0.06631055995425499,0.0147067554534902,0.0827942554497107,EM,0.4
27,27,27,0.0585428943822767,1.0219629883623005,0.0239815941251887,0.9953558129386232,-2.0510917803908755,0.0425497225088708,2.220446049250313e-16,0.02241586067524416,0.0,0.90165768122655,EM+mean,0.4
28,28,28,0.0783025716040455,1.0297498542530323,0.068701242596253,1.0641351838041282,-1.3726588814201506,0.0482366302666231,0.0,0.06083217932403123,0.0,0.8327329500788067,EM+median,0.4
29,29,29,0.0527952927930027,1.4018768545295806,0.1635087854103191,1.396493872785884,-2.045663684253279,0.0380216613342996,2.220446049250313e-16,0.08516071394865135,0.0,0.7940219333007777,EM+mode,0.4
30,30,30,0.4349796103307657,1.3777990055210565,0.4044046489944861,1.4072373410315062,-2.362335871852783,0.0,0.0,0.0,0.0,0.0,Gibbs,0.5
31,31,31,0.3870326091948372,0.5923260232802876,0.454112570526945,0.6300914601700593,0.3032389867372885,0.0663269683143878,0.0060768508154866,0.0629708888945062,0.0236933941812815,0.0208355086985211,VBEM,0.5
32,32,32,0.3442195766685103,0.6272226288991348,0.4110373670791136,0.6553242983006173,-1.7246033740204478,0.0640497320020142,0.0173186078029954,0.06576551464256244,0.037875617100178,0.0594091904837348,EM,0.5
33,33,33,0.0218459886706716,1.0296358282509748,0.0177053396836806,0.9721758068553364,-0.9274521300308092,0.025893545041635,2.220446049250313e-16,0.01528009859771946,0.0,0.2678206104977423,EM+mean,0.5
34,34,34,0.0573241555512049,1.0491656131285645,0.0617928700932239,1.0205379207314238,-0.3569757912467641,0.0517531455523073,2.220446049250313e-16,0.04916111153349645,1.1102230246251563e-16,0.9857047743910432,EM+median,0.5
35,35,35,0.0101327507267947,1.3616053555191594,0.0233501057621712,1.4945350992195712,-0.418443986288698,0.0267057196598442,0.0,0.02043040448066265,2.220446049250313e-16,0.5014881598436662,EM+mode,0.5
36,36,36,0.4984615384615385,1.4194250601795273,0.4071636363636363,1.4623147994948322,-2.176221605055732,0.0,0.0,0.0,0.0,0.0,Gibbs,0.6
37,37,37,0.4141544366502807,0.7330069462739832,0.4635797942886106,0.6905091595766686,0.1107365586318616,0.0863132588206558,0.0601707840736939,0.016333499668213892,0.0738315835681816,0.0221556856185039,VBEM,0.6
38,38,38,0.2962742068098501,0.7495740652067658,0.2572943085638363,0.7880835241170002,-1.419263367467655,0.0908787308112333,0.0148627281019937,0.07189449349474909,0.0548502563633506,0.0710618026808676,EM,0.6
39,39,39,0.006146753745678,1.0256562258422794,0.0223133103131648,1.1214846989424272,1.7543532898750496,0.0122935074913561,0.0,0.00442402864712838,2.220446049250313e-16,1.0475660640930684,EM+mean,0.6
40,40,40,0.0424798494865414,1.0178699044701314,0.0417278473283728,1.197856165256938,1.640170000545483,0.0479025497275903,0.0,0.00455619983891697,0.0,0.9724812068716236,EM+median,0.6
41,41,41,0.0116063645535895,1.408912380290933,0.0094488376167161,1.3624547301897685,1.645552171471157,0.0196128450747511,2.220446049250313e-16,0.00799574287947237,2.220446049250313e-16,1.1587465994016688,EM+mode,0.6
42,42,42,0.0871275997751545,1.3586805138385931,0.2341721854304636,1.3384183592095649,-2.207994004546918,0.0,0.0,0.0,0.0,0.0,Gibbs,0.7
43,43,43,0.2124362551290127,0.8536612251941431,0.2451185814450708,0.9054584396676124,-0.1572840399616293,0.0881499867368948,0.0594122427288979,0.06825870970098705,0.0544148784765261,0.0733162590970124,VBEM,0.7
44,44,44,0.0685987103911183,0.8374732381675163,0.0408661203947764,1.0879266368225593,-1.294800597751789,0.0264767295796282,0.0294267802162539,0.03807633351518469,0.1087511126378907,0.0691669261694259,EM,0.7
45,45,45,0.0009896091044037,0.992589351313972,0.0110889587355696,1.1659225541189833,3.313785825725377,0.0029688273132112,1.1102230246251563e-16,0.00693305487972432,0.0,1.6566712071537326,EM+mean,0.7
46,46,46,0.0009896091044037,0.9953368192703062,0.004547702480058,1.396175777955347,3.210382654996117,0.0029688273132112,1.1102230246251563e-16,0.00330187218153021,0.0,2.184714617702508,EM+median,0.7
47,47,47,0.0122894545838735,1.346613463665212,0.0128206425455868,1.41145697172775,2.815805244816963,0.0272776882305223,0.0,0.009842737232898632,0.0,1.9919241769279008,EM+mode,0.7
48,48,48,0.0,1.42266915502921,0.0,1.1093358264673694,-3.1083992877333544,0.0,0.0,0.0,0.0,0.0,Gibbs,0.8
